1499701677	190.57001	
1499701691	126.98000	
1499701705	56.94000	
1499701719	9.42000	
1499701738	3.35000	
1499701752	1.21000	
1499701762	0.65000	
1499701779	0.30000	
1499701789	0.12000	
1499701803	0.07000	
1499701821	0.04000	
1499701831	0.01000	
1499701849	0.00000	
1499702279	0.00000	
1499702890	0.00000	
1499703136	63.84000	
1499703151	140.25000	
1499703166	213.49001	
1499703182	292.91000	
1499703197	369.26999	
1499703212	439.06000	
1499703227	518.54999	
1499703242	594.72998	
1499703257	664.67999	
1499703272	743.94000	
1499703287	817.09003	
1499703303	896.41998	
1499703318	969.38000	
1499703332	999.78998	
1499703347	999.78003	
1499703399	999.77002	
1499703414	999.76001	
1499703494	999.75000	
1499703714	999.72998	
1499704103	999.72998	
1499704174	999.71997	
1499704258	999.71002	
1499704493	999.70001	
1499704612	999.69000	
1499704707	999.69000	
1499705280	999.67999	
1499705315	999.67999	
1499705475	999.66998	
1499705722	999.65997	
1499705921	999.65997	
1499706071	999.65002	
1499706529	999.65002	
1499706721	999.64001	
1499706894	999.63000	
1499706974	999.62000	
1499707137	999.62000	
1499707400	999.60999	
1499707579	999.62000	
1499707740	999.62000	
1499707894	999.63000	
1499707981	999.64001	
1499708048	999.63000	
1499708352	999.63000	
1499708529	999.62000	
1499708727	999.60999	
1499708905	999.59998	
1499708957	999.59998	
1499709496	999.59003	
1499709563	999.59003	
1499710100	999.58002	
1499710166	999.58002	
1499710566	999.57001	
1499710770	999.57001	
1499710842	999.56000	
1499710933	999.54999	
1499711000	999.53998	
1499711372	999.53998	
1499711771	999.54999	
1499711978	999.54999	
1499712451	999.53998	
1499712588	999.53998	
1499713092	999.54999	
1499713199	999.54999	
1499713802	999.54999	
1499713932	999.53998	
1499714409	999.53998	
1499715015	999.53003	
1499715619	999.53003	
1499716232	999.53003	
1499716465	999.52002	
1499716605	999.51001	
1499716739	999.50000	
1499716834	999.50000	
1499716999	999.51001	
1499717116	999.50000	
1499717159	999.51001	
1499717441	999.51001	
1499717657	999.52002	
1499718042	999.51001	
1499718231	999.50000	
1499718406	999.51001	
1499718655	999.51001	
1499718727	999.50000	
1499719257	999.50000	
1499719867	999.50000	
1499720209	999.48999	
1499720238	999.47998	
1499720275	999.48999	
1499720477	999.48999	
1499720576	999.47998	
1499721083	999.47998	
1499721697	999.47998	
1499722102	999.46997	
1499722305	999.46997	
1499722321	999.46002	
1499722918	999.46002	
1499723527	999.46002	
1499724133	999.46002	
1499724473	999.45001	
1499724732	999.45001	
1499724952	999.44000	
1499725339	999.42999	
1499725565	999.44000	
1499725943	999.44000	
1499726251	999.42999	
1499726554	999.42999	
1499727164	999.42999	
1499727774	999.42999	
1499728050	999.41998	
1499728388	999.41998	
1499728432	999.42999	
1499728991	999.42999	
1499729599	999.42999	
1499730203	999.42999	
1499730721	999.41998	
1499730813	999.41998	
1499730853	999.40997	
1499731172	999.40002	
1499731214	999.40997	
1499731419	999.40997	
1499732022	999.40997	
1499732515	999.41998	
1499732632	999.41998	
1499732700	999.40997	
1499732784	999.40002	
1499732825	999.40997	
1499733244	999.40997	
1499733530	999.40002	
1499733644	999.39001	
1499733865	999.40002	
1499734261	999.39001	
1499734465	999.39001	
1499734585	999.40002	
1499735021	999.39001	
1499735069	999.39001	
1499735552	999.38000	
1499735664	999.38000	
1499735718	999.39001	
1499736267	999.39001	
1499736295	999.38000	
1499736877	999.38000	
1499736936	999.37000	
1499737114	999.38000	
1499737486	999.38000	
1499737504	999.37000	
1499737849	999.39001	
1499737978	999.38000	
1499738086	999.38000	
1499738648	999.37000	
1499738687	999.35999	
1499739291	999.35999	
1499739650	999.34998	
1499739900	999.34998	
1499740512	999.34998	
1499741114	999.34998	
1499741722	999.34998	
1499742326	999.34998	
1499742925	999.34998	
1499743162	999.34003	
1499743542	999.34003	
1499744152	999.34003	
1499744211	999.33002	
1499744755	999.33002	
1499745296	999.32001	
1499745364	999.32001	
1499745722	999.31000	
1499745736	999.32001	
1499745750	999.31000	
1499745969	999.31000	
1499746580	999.31000	
1499747147	999.29999	
1499747183	999.29999	
1499747215	999.31000	
1499747784	999.31000	
1499747943	999.29999	
1499748063	999.31000	
1499748390	999.31000	
1499748996	999.31000	
1499749606	999.31000	
1499750107	999.32001	
1499750213	999.32001	
1499750300	999.33002	
1499750463	999.34003	
1499750589	999.34998	
1499750824	999.34998	
1499750923	999.35999	
1499751073	999.34998	
1499751325	999.35999	
1499751395	999.37000	
1499751435	999.37000	
1499751887	999.35999	
1499752040	999.37000	
1499752097	999.38000	
1499752333	999.37000	
1499752567	999.38000	
1499752643	999.38000	
1499753141	999.39001	
1499753250	999.39001	
1499753656	999.40002	
1499753859	999.40002	
1499754077	999.39001	
1499754460	999.39001	
1499754655	999.40002	
1499754878	999.39001	
1499755069	999.39001	
1499755361	999.40002	
1499755481	999.40997	
1499755672	999.40997	
1499756217	999.40002	
1499756280	999.40002	
1499756842	999.40997	
1499756881	999.41998	
1499757483	999.41998	
1499757774	999.42999	
1499757961	999.41998	
1499758095	999.41998	
1499758123	999.42999	
1499758708	999.42999	
1499759316	999.42999	
1499759787	999.44000	
1499759921	999.44000	
1499759934	1000.40002	
1499759953	1070.09998	
1499759968	1143.09998	
1499759982	1219.30005	
1499759997	1289.00000	
1499760013	1368.30005	
1499760028	1447.40002	
1499760044	1499.69995	
1499760059	1499.69995	
1499760074	1499.69995	
1499760142	1499.69995	
1499760298	1499.69995	
1499760416	1499.59998	
1499760523	1499.59998	
