date	VMON1402	
1499688130	4.00000	
1499688318	4.00000	
1499688933	4.00000	
1499689538	4.00000	
1499690144	4.00000	
1499690745	4.00000	
1499691351	4.00000	
1499691953	4.00000	
1499692562	4.00000	
1499693169	4.00000	
1499693775	4.00000	
1499694378	4.00000	
1499694978	4.00000	
1499695583	4.00000	
1499696191	4.00000	
1499696793	4.00000	
1499697406	4.00000	
1499698022	4.00000	
1499698634	4.00000	
1499699238	4.00000	
1499699842	4.00000	
1499700456	4.00000	
1499701056	4.00000	
1499701663	4.00000	
1499702277	4.00000	
1499702889	4.00000	
1499703493	4.00000	
1499704101	4.00000	
1499704705	4.00000	
1499705313	4.00000	
1499705920	4.00000	
1499706527	4.00000	
1499707135	4.00000	
1499707738	4.00000	
1499708350	4.00000	
1499708956	4.00000	
1499709561	4.00000	
1499710164	4.00000	
1499710769	4.00000	
1499711370	4.00000	
1499711976	4.00000	
1499712586	4.00000	
1499713198	4.00000	
1499713801	4.00000	
1499714407	4.00000	
1499715014	4.00000	
1499715618	4.00000	
1499716230	4.00000	
1499716833	4.00000	
1499717439	4.00000	
1499718040	4.00000	
1499718654	4.00000	
1499719255	4.00000	
1499719865	4.00000	
1499720475	4.00000	
1499721082	4.00000	
1499721695	4.00000	
1499722303	4.00000	
1499722917	4.00000	
1499723526	4.00000	
1499724131	4.00000	
1499724731	4.00000	
1499725337	4.00000	
1499725942	4.00000	
1499726552	4.00000	
1499727162	4.00000	
1499727772	4.00000	
1499728386	4.00000	
1499728989	4.00000	
1499729598	4.00000	
1499730201	4.00000	
1499730812	4.00000	
1499731418	4.00000	
1499732021	4.00000	
1499732631	4.00000	
1499733243	4.00000	
1499733864	4.00000	
1499734464	4.00000	
1499735069	4.00000	
1499735662	4.00000	
1499736266	4.00000	
1499736876	4.00000	
1499737485	4.00000	
1499738084	4.00000	
1499738686	4.00000	
1499739290	4.00000	
1499739899	4.00000	
1499740511	4.00000	
1499741113	4.00000	
1499741720	4.00000	
1499742325	4.00000	
1499742924	4.00000	
1499743540	4.00000	
1499744151	4.00000	
1499744753	4.00000	
1499745363	4.00000	
1499745967	4.00000	
1499746579	4.00000	
1499747183	4.00000	
1499747783	4.00000	
1499748389	4.00000	
1499748994	4.00000	
1499749604	4.00000	
1499750211	4.00000	
1499750823	4.00000	
1499751433	4.00000	
1499752038	4.00000	
1499752642	4.00000	
1499753249	4.00000	
1499753857	4.00000	
1499754459	4.00000	
1499755067	4.00000	
1499755671	4.00000	
1499756279	4.00000	
1499756879	4.00000	
1499757481	4.00000	
1499758094	4.00000	
1499758706	4.00000	
1499759314	4.00000	
1499759920	4.00000	
1499760521	4.00000	
1499761132	4.00000	
1499761734	4.00000	
1499762340	4.00000	
1499762937	4.00000	
1499763550	4.00000	
1499764164	4.00000	
1499764767	4.00000	
1499765381	4.00000	
1499765986	4.00000	
1499766591	4.00000	
1499767203	4.00000	
1499767807	4.00000	
1499768406	4.00000	
1499769012	4.00000	
1499769622	4.00000	
1499770235	4.00000	
1499770847	4.00000	
1499771462	4.00000	
1499772073	4.00000	
1499772688	4.00000	
1499773296	4.00000	
1499773906	4.00000	
1499774515	4.00000	
1499775127	4.00000	
1499775735	4.00000	
1499776349	4.00000	
1499776958	4.00000	
1499777567	4.00000	
1499778173	4.00000	
1499778786	4.00000	
1499779396	4.00000	
1499780007	4.00000	
1499780613	4.00000	
1499781221	4.00000	
1499781828	4.00000	
1499782441	4.00000	
1499783054	4.00000	
1499783670	4.00000	
1499784270	4.00000	
1499784870	4.00000	
1499785483	4.00000	
1499786086	4.00000	
1499786685	4.00000	
1499787298	4.00000	
1499787910	4.00000	
1499788524	4.00000	
1499789138	4.00000	
1499789743	4.00000	
1499790343	4.00000	
1499790951	4.00000	
1499791563	4.00000	
1499792163	4.00000	
1499792776	4.00000	
1499793380	4.00000	
1499793993	4.00000	
1499794595	4.00000	
1499795206	4.00000	
1499795817	4.00000	
1499796429	4.00000	
1499797033	4.00000	
1499797648	4.00000	
1499798257	4.00000	
1499798865	4.00000	
1499799477	4.00000	
1499800083	4.00000	
1499800683	4.00000	
1499801283	4.00000	
1499801892	4.00000	
1499802498	4.00000	
1499803102	4.00000	
1499803708	4.00000	
1499804311	4.00000	
1499804914	4.00000	
1499805526	4.00000	
1499806132	4.00000	
1499806736	4.00000	
1499807349	4.00000	
1499807960	4.00000	
1499808572	4.00000	
1499809182	4.00000	
1499809795	4.00000	
1499810401	4.00000	
1499811009	4.00000	
1499811608	4.00000	
1499812212	4.00000	
1499812825	4.00000	
1499813435	4.00000	
1499814050	4.00000	
1499814650	4.00000	
1499815252	4.00000	
1499815864	4.00000	
1499816475	4.00000	
1499817082	4.00000	
1499817684	4.00000	
1499818296	4.00000	
1499818908	4.00000	
1499819556	4.00000	
1499820168	4.00000	
1499820745	4.00000	
1499821374	4.00000	
1499821984	4.00000	
1499822593	4.00000	
1499823188	4.00000	
1499823799	4.00000	
1499824407	4.00000	
1499825017	4.00000	
1499825619	4.00000	
1499826233	4.00000	
1499826851	4.00000	
1499827463	4.00000	
1499828073	4.00000	
1499828684	4.00000	
1499829292	4.00000	
1499829899	4.00000	
1499830508	4.00000	
1499831119	4.00000	
1499831720	4.00000	
1499832335	4.00000	
1499832948	4.00000	
1499833545	4.00000	
1499834147	4.00000	
1499834751	4.00000	
1499835349	4.00000	
1499835965	4.00000	
1499836582	4.00000	
1499837183	4.00000	
1499837793	4.00000	
1499838409	4.00000	
1499839012	4.00000	
1499839619	4.00000	
1499840239	4.00000	
1499840865	4.00000	
1499841462	4.00000	
1499842060	4.00000	
1499842663	4.00000	
1499843270	4.00000	
1499843877	4.00000	
1499844477	4.00000	
1499845086	4.00000	
1499845691	4.00000	
1499846297	4.00000	
1499846901	4.00000	
1499847503	4.00000	
1499848108	4.00000	
1499848712	4.00000	
1499849317	4.00000	
1499849918	4.00000	
1499850520	4.00000	
1499851123	4.00000	
1499851735	4.00000	
1499852337	4.00000	
1499852942	4.00000	
1499853555	4.00000	
1499854158	4.00000	
1499854772	4.00000	
1499855385	4.00000	
1499855998	4.00000	
1499856613	4.00000	
1499857232	4.00000	
1499857835	4.00000	
1499858452	4.00000	
1499859065	4.00000	
1499859670	4.00000	
1499860267	4.00000	
1499860875	4.00000	
1499861483	4.00000	
1499862089	4.00000	
1499862698	4.00000	
1499863304	4.00000	
1499863907	4.00000	
1499864513	4.00000	
1499865116	4.00000	
1499865725	4.00000	
1499866334	4.00000	
1499866943	4.00000	
1499867553	4.00000	
1499868158	4.00000	
1499868760	4.00000	
1499869368	4.00000	
1499869982	4.00000	
1499870584	4.00000	
1499871191	4.00000	
1499871800	4.00000	
1499872408	4.00000	
1499873014	4.00000	
1499873624	4.00000	
1499874228	4.00000	
1499874827	4.00000	
1499875435	4.00000	
1499876034	4.00000	
1499876644	4.00000	
1499877256	4.00000	
1499877867	4.00000	
1499878470	4.00000	
1499879076	4.00000	
1499879679	4.00000	
1499880290	4.00000	
1499880898	4.00000	
1499881503	4.00000	
1499882108	4.00000	
1499882715	4.00000	
1499883323	4.00000	
1499883929	4.00000	
1499884530	4.00000	
1499885139	4.00000	
1499885741	4.00000	
1499886352	4.00000	
1499886952	4.00000	
1499887555	4.00000	
1499888156	4.00000	
1499888760	4.00000	
1499889362	4.00000	
1499889967	4.00000	
1499890581	4.00000	
1499891192	4.00000	
1499891798	4.00000	
1499892407	4.00000	
1499893013	4.00000	
1499893615	4.00000	
1499894232	4.00000	
1499894833	4.00000	
1499895436	4.00000	
1499896036	4.00000	
1499896643	4.00000	
1499897250	4.00000	
1499897855	4.00000	
1499898455	4.00000	
1499899066	4.00000	
1499899684	4.00000	
1499900295	4.00000	
1499900905	4.00000	
1499901507	4.00000	
1499902106	4.00000	
1499902712	4.00000	
1499903319	4.00000	
1499903922	4.00000	
1499904530	4.00000	
1499905137	4.00000	
1499905770	4.00000	
1499906375	4.00000	
1499906966	4.00000	
1499907577	4.00000	
